已知结果来源	样本编号	已知结果	质控结果	原始数据量	质控合格比例	预测性别	检出病原体	read	rpk	过滤标志	已知结果rpk	扩增子覆盖度	扩增子	扩增子read	扩增子rpk	扩增子rate	最佳比对率	anaid	体系	runid
培养物	LS-A1-5000-V3-1-test8	流感嗜血杆菌|5000	合格	120336	0.13	未知	流感嗜血杆菌|报	4126	3427	阳性	5000	'3/3	ITGM002	1593	1323	1.158	1.000;1.00	R230829-S089	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A1-5000-V3-1-test8	流感嗜血杆菌|5000	合格	120336	0.13	未知	流感嗜血杆菌|报	4126	3427	阳性	5000	'3/3	ITGM003	923	767	0.672	1.000;1.00	R230829-S089	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A1-800-1-V3-1-test8	流感嗜血杆菌|800	合格	113342	0.09	未知	三叶草根瘤菌|报	2010	1773	内参	800	'1/1	IC_RL2_2	2010	1773	1	0.987;1.00	R230829-S107	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A1-800-1-V3-1-test8	流感嗜血杆菌|800	合格	113342	0.09	未知	人内参ZFX|报	8	7	内参	800	'1/1	gTGM008	8	7	1	1.000;1.00	R230829-S107	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A1-800-1-V3-1-test8	流感嗜血杆菌|800	合格	113342	0.09	未知	烟曲霉|报	25	22	弱阳	800	'1/1	RTGM168	25	22	1	0.987;1.00	R230829-S107	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A1-800-2-V3-1-test8	流感嗜血杆菌|800	合格	83247	0.1	未知	三叶草根瘤菌|报	2034	2443	内参	800	'1/1	IC_RL2_2	2034	2443	1	0.987;1.00	R230829-S131	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A2-5000-V3-1-test8	流感嗜血杆菌|5000	合格	162100	0.09	未知	三叶草根瘤菌|报	1844	1137	内参	5000	'1/1	IC_RL2_2	1844	1137	1	0.987;1.00	R230829-S090	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A2-5000-V3-1-test8	流感嗜血杆菌|5000	合格	162100	0.09	未知	流感嗜血杆菌|报	2351	1450	阳性	5000	'3/3	ITGM001	647	399	0.826	1.000;1.00	R230829-S090	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A2-5000-V3-1-test8	流感嗜血杆菌|5000	合格	162100	0.09	未知	流感嗜血杆菌|报	2351	1450	阳性	5000	'3/3	ITGM002	869	536	1.11	1.000;1.00	R230829-S090	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A2-5000-V3-1-test8	流感嗜血杆菌|5000	合格	162100	0.09	未知	流感嗜血杆菌|报	2351	1450	阳性	5000	'3/3	ITGM003	835	515	1.066	1.000;1.00	R230829-S090	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A2-800-1-V3-1-test8	流感嗜血杆菌|800	合格	117071	0.08	未知	三叶草根瘤菌|报	1729	1476	内参	800	'1/1	IC_RL2_2	1729	1476	1	0.987;1.00	R230829-S108	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A2-800-1-V3-1-test8	流感嗜血杆菌|800	合格	117071	0.08	未知	人内参ZFY|报	3	2	内参	800	'1/1	gTGM008	3	2	1	1.000;1.00	R230829-S108	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A2-800-2-V3-1-test8	流感嗜血杆菌|800	合格	79486	0.09	未知	三叶草根瘤菌|报	1190	1497	内参	800	'1/1	IC_RL2_2	1190	1497	1	0.987;1.00	R230829-S132	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-B1-2500-V3-1-test8	流感嗜血杆菌|2500	合格	95266	0.09	未知	三叶草根瘤菌|报	1083	1136	内参	2500	'1/1	IC_RL2_2	1083	1136	1	0.987;1.00	R230829-S091	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-B1-2500-V3-1-test8	流感嗜血杆菌|2500	合格	95266	0.09	未知	流感嗜血杆菌|报	1067	1118	阳性	2500	'3/3	ITGM001	312	327	0.879	1.000;1.00	R230829-S091	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-B1-2500-V3-1-test8	流感嗜血杆菌|2500	合格	95266	0.09	未知	流感嗜血杆菌|报	1067	1118	阳性	2500	'3/3	ITGM002	620	650	1.747	1.000;1.00	R230829-S091	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-B1-2500-V3-1-test8	流感嗜血杆菌|2500	合格	95266	0.09	未知	流感嗜血杆菌|报	1067	1118	阳性	2500	'3/3	ITGM003	135	141	0.379	1.000;1.00	R230829-S091	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-B2-2500-V3-1-test8	流感嗜血杆菌|2500	合格	156253	0.08	未知	三叶草根瘤菌|报	2221	1421	内参	2500	'1/1	IC_RL2_2	2221	1421	1	0.987;1.00	R230829-S092	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-B2-2500-V3-1-test8	流感嗜血杆菌|2500	合格	156253	0.08	未知	流感嗜血杆菌|报	1733	1107	阳性	2500	'3/3	ITGM001	482	308	0.835	1.000;1.00	R230829-S092	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-B2-2500-V3-1-test8	流感嗜血杆菌|2500	合格	156253	0.08	未知	流感嗜血杆菌|报	1733	1107	阳性	2500	'3/3	ITGM002	714	456	1.236	1.000;1.00	R230829-S092	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-B2-2500-V3-1-test8	流感嗜血杆菌|2500	合格	156253	0.08	未知	流感嗜血杆菌|报	1733	1107	阳性	2500	'3/3	ITGM003	537	343	0.93	1.000;1.00	R230829-S092	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LST-1-350-V3-1-test8	单核细胞增生李斯特菌|350	合格	126873	0.1	未知	三叶草根瘤菌|报	1752	1380	内参	350	'1/1	IC_RL2_2	1752	1380	1	0.987;1.00	R230829-S069	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LST-1-350-V3-1-test8	单核细胞增生李斯特菌|350	合格	126873	0.1	未知	单核细胞增生李斯特菌|报	2292	1806	阳性	350	'2/2	cTGM244	1048	826	0.915	1.000;1.00	R230829-S069	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LST-1-350-V3-1-test8	单核细胞增生李斯特菌|350	合格	126873	0.1	未知	单核细胞增生李斯特菌|报	2292	1806	阳性	350	'2/2	xTGM180	1244	980	1.085	1.000;1.00	R230829-S069	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LST-2-350-V3-1-test8	单核细胞增生李斯特菌|350	合格	139581	0.09	未知	三叶草根瘤菌|报	1809	1296	内参	350	'1/1	IC_RL2_2	1809	1296	1	0.987;1.00	R230829-S070	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LST-2-350-V3-1-test8	单核细胞增生李斯特菌|350	合格	139581	0.09	未知	单核细胞增生李斯特菌|报	2297	1645	阳性	350	'2/2	cTGM244	571	409	0.498	1.000;1.00	R230829-S070	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LST-2-350-V3-1-test8	单核细胞增生李斯特菌|350	合格	139581	0.09	未知	单核细胞增生李斯特菌|报	2297	1645	阳性	350	'2/2	xTGM180	1726	1236	1.504	1.000;1.00	R230829-S070	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LST-2-350-V3-1-test8	单核细胞增生李斯特菌|350	合格	139581	0.09	未知	白念珠菌|报	118	84	弱阳	350	'1/1	ITGM041	118	84	1	0.974;1.00	R230829-S070	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-A1-4000-V3-1-test8	脑膜炎奈瑟菌|4000	合格	118085	0.09	未知	三叶草根瘤菌|报	764	646	内参	4000	'1/1	IC_RL2_2	764	646	1	0.987;1.00	R230829-S093	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-A1-4000-V3-1-test8	脑膜炎奈瑟菌|4000	合格	118085	0.09	未知	脑膜炎奈瑟菌|报	1340	1133	阳性	4000	'2/2	RTGM214	1163	984	1.739	1.000;1.00	R230829-S093	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-A1-4000-V3-1-test8	脑膜炎奈瑟菌|4000	合格	118085	0.09	未知	脑膜炎奈瑟菌|报	1340	1133	阳性	4000	'2/2	gTGM014	177	149	0.263	1.000;1.00	R230829-S093	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-A2-4000-V3-1-test8	脑膜炎奈瑟菌|4000	合格	110229	0.09	未知	三叶草根瘤菌|报	1582	1435	内参	4000	'1/1	IC_RL2_2	1582	1435	1	0.987;1.00	R230829-S094	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-A2-4000-V3-1-test8	脑膜炎奈瑟菌|4000	合格	110229	0.09	未知	脑膜炎奈瑟菌|报	2088	1893	阳性	4000	'2/2	RTGM214	1348	1222	1.292	1.000;1.00	R230829-S094	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-A2-4000-V3-1-test8	脑膜炎奈瑟菌|4000	合格	110229	0.09	未知	脑膜炎奈瑟菌|报	2088	1893	阳性	4000	'2/2	gTGM014	740	671	0.709	1.000;1.00	R230829-S094	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B1-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	110826	0.08	未知	三叶草根瘤菌|报	785	708	内参	2000	'1/1	IC_RL2_2	785	708	1	0.987;1.00	R230829-S095	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B1-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	110826	0.08	未知	脑膜炎奈瑟菌|报	577	520	阳性	2000	'2/2	RTGM214	459	414	1.592	1.000;1.00	R230829-S095	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B1-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	110826	0.08	未知	脑膜炎奈瑟菌|报	577	520	阳性	2000	'2/2	gTGM014	118	106	0.408	1.000;1.00	R230829-S095	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B1-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	110826	0.08	未知	鲍曼不动杆菌|报	51	46	弱阳	2000	'1/3	jTGM065	0	0	0		R230829-S095	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B1-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	110826	0.08	未知	鲍曼不动杆菌|报	51	46	弱阳	2000	'1/3	nTGM001	0	0	0		R230829-S095	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B1-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	110826	0.08	未知	鲍曼不动杆菌|报	51	46	弱阳	2000	'1/3	pTGM010	51	46	3.067	1.000;1.00	R230829-S095	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B2-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	133413	0.07	未知	三叶草根瘤菌|报	838	628	内参	2000	'1/1	IC_RL2_2	838	628	1	0.987;1.00	R230829-S096	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B2-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	133413	0.07	未知	人内参ZFX|报	3	2	内参	2000	'1/1	gTGM008	3	2	1	1.000;1.00	R230829-S096	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B2-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	133413	0.07	未知	人内参ZFY|报	1	1	内参	2000	'1/1	gTGM008	1	1	1	1.000;1.00	R230829-S096	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B2-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	133413	0.07	未知	烟曲霉|报	14	10	弱阳	2000	'1/1	RTGM168	14	10	1	1.000;1.00	R230829-S096	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B2-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	133413	0.07	未知	脑膜炎奈瑟菌|报	468	350	阳性	2000	'2/2	RTGM214	226	169	0.966	1.000;1.00	R230829-S096	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B2-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	133413	0.07	未知	脑膜炎奈瑟菌|报	468	350	阳性	2000	'2/2	gTGM014	242	181	1.034	1.000;1.00	R230829-S096	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B2-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	133413	0.07	未知	铜绿假单胞菌|报	5	3	滤	2000	'1/2	pTGM081	0	0	0		R230829-S096	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	NN-B2-2000-V3-1-test8	脑膜炎奈瑟菌|2000	合格	133413	0.07	未知	铜绿假单胞菌|报	5	3	滤	2000	'1/2	pTGM082	5	3	3	1.000;1.00	R230829-S096	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SC-1-4200-V3-1-test8	屎肠球菌|4200	合格	131590	0.11	未知	三叶草根瘤菌|报	684	519	内参	4200	'1/1	IC_RL2_2	684	519	1	0.987;1.00	R230829-S067	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SC-2-4200-V3-1-test8	屎肠球菌|4200	合格	95176	0.11	男性(可能扩增不平衡)	三叶草根瘤菌|报	1042	1094	内参	4200	'1/1	IC_RL2_2	1042	1094	1	0.987;1.00	R230829-S068	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SC-2-4200-V3-1-test8	屎肠球菌|4200	合格	95176	0.11	男性(可能扩增不平衡)	人内参ZFY|报	12	12	内参	4200	'1/1	gTGM008	12	12	1	1.000;1.00	R230829-S068	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A1-2000-1-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	91986	0.06	男性(可能扩增不平衡)	三叶草根瘤菌|报	490	532	内参	2000	'1/1	IC_RL2_2	490	532	1	0.987;1.00	R230829-S103	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A1-2000-1-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	91986	0.06	男性(可能扩增不平衡)	人内参ZFY|报	62	67	内参	2000	'1/1	gTGM008	62	67	1	1.000;0.95	R230829-S103	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A1-2000-1-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	91986	0.06	男性(可能扩增不平衡)	嗜麦芽窄食单胞菌|报	229	247	阳性	2000	'2/2	RTGM164	57	61	0.496	1.000;1.00	R230829-S103	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A1-2000-1-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	91986	0.06	男性(可能扩增不平衡)	嗜麦芽窄食单胞菌|报	229	247	阳性	2000	'2/2	RTGM165	172	186	1.512	1.000;1.00	R230829-S103	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A1-2000-1-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	91986	0.06	男性(可能扩增不平衡)	近平滑念珠菌|报	1	1	滤	2000	'1/1	jTGM159	1	1	1	1.000;1.00	R230829-S103	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A1-2000-1-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	91986	0.06	男性(可能扩增不平衡)	铜绿假单胞菌|报	42	45	弱阳	2000	'1/2	pTGM081	42	45	2.045	1.000;1.00	R230829-S103	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A1-2000-1-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	91986	0.06	男性(可能扩增不平衡)	铜绿假单胞菌|报	42	45	弱阳	2000	'1/2	pTGM082	0	0	0		R230829-S103	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A1-2000-2-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	110982	0.08	未知	三叶草根瘤菌|报	853	768	内参	2000	'1/1	IC_RL2_2	853	768	1	0.987;1.00	R230829-S127	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A1-2000-2-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	110982	0.08	未知	嗜麦芽窄食单胞菌|报	164	147	弱阳	2000	'1/2	RTGM164	0	0	0		R230829-S127	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A1-2000-2-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	110982	0.08	未知	嗜麦芽窄食单胞菌|报	164	147	弱阳	2000	'1/2	RTGM165	164	147	2.014	1.000;1.00	R230829-S127	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A2-2000-1-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	95396	0.07	未知	三叶草根瘤菌|报	711	745	内参	2000	'1/1	IC_RL2_2	711	745	1	0.987;1.00	R230829-S104	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A2-2000-1-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	95396	0.07	未知	嗜麦芽窄食单胞菌|报	332	347	阳性	2000	'2/2	RTGM164	48	50	0.289	1.000;1.00	R230829-S104	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A2-2000-1-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	95396	0.07	未知	嗜麦芽窄食单胞菌|报	332	347	阳性	2000	'2/2	RTGM165	284	297	1.717	1.000;1.00	R230829-S104	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A2-2000-2-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	100974	0.07	未知	三叶草根瘤菌|报	622	616	内参	2000	'1/1	IC_RL2_2	622	616	1	0.987;1.00	R230829-S128	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A2-2000-2-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	100974	0.07	未知	嗜麦芽窄食单胞菌|报	371	366	阳性	2000	'2/2	RTGM164	239	236	1.29	1.000;1.00	R230829-S128	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	SM-A2-2000-2-V3-1-test8	嗜麦芽窄食单胞菌|2000	合格	100974	0.07	未知	嗜麦芽窄食单胞菌|报	371	366	阳性	2000	'2/2	RTGM165	132	130	0.71	1.000;1.00	R230829-S128	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-1-3400-V3-1-test8	铜绿假单胞菌|3400	合格	200588	0.09	未知	三叶草根瘤菌|报	1453	724	内参	3400	'1/1	IC_RL2_2	1453	724	1	0.987;1.00	R230829-S065	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-2-3400-V3-1-test8	铜绿假单胞菌|3400	合格	149080	0.09	未知	三叶草根瘤菌|报	1144	767	内参	3400	'1/1	IC_RL2_2	1144	767	1	0.987;1.00	R230829-S066	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-2-3400-V3-1-test8	铜绿假单胞菌|3400	合格	149080	0.09	未知	烟曲霉|报	67	44	弱阳	3400	'1/1	RTGM168	67	44	1	1.000;1.00	R230829-S066	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-2-3400-V3-1-test8	铜绿假单胞菌|3400	合格	149080	0.09	未知	白念珠菌|报	65	43	弱阳	3400	'1/1	ITGM041	65	43	1	0.974;1.00	R230829-S066	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-2-3400-V3-1-test8	铜绿假单胞菌|3400	合格	149080	0.09	未知	铜绿假单胞菌|报	98	65	弱阳	3400	'1/2	pTGM081	98	65	2.031	1.000;1.00	R230829-S066	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-2-3400-V3-1-test8	铜绿假单胞菌|3400	合格	149080	0.09	未知	铜绿假单胞菌|报	98	65	弱阳	3400	'1/2	pTGM082	0	0	0		R230829-S066	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-2-3400-V3-1-test8	铜绿假单胞菌|3400	合格	149080	0.09	未知	鲍曼不动杆菌|报	204	136	弱阳	3400	'2/3	jTGM065	185	124	2.756	1.000;1.00	R230829-S066	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-2-3400-V3-1-test8	铜绿假单胞菌|3400	合格	149080	0.09	未知	鲍曼不动杆菌|报	204	136	弱阳	3400	'2/3	nTGM001	19	12	0.267	1.000;0.90	R230829-S066	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-2-3400-V3-1-test8	铜绿假单胞菌|3400	合格	149080	0.09	未知	鲍曼不动杆菌|报	204	136	弱阳	3400	'2/3	pTGM010	0	0	0		R230829-S066	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A1-2000-1-V3-1-test8	铜绿假单胞菌|2000	合格	100510	0.07	未知	三叶草根瘤菌|报	458	455	内参	2000	'1/1	IC_RL2_2	458	455	1	0.987;1.00	R230829-S101	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A1-2000-1-V3-1-test8	铜绿假单胞菌|2000	合格	100510	0.07	未知	人内参ZFY|报	3	2	内参	2000	'1/1	gTGM008	3	2	1	0.987;1.00	R230829-S101	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A1-2000-1-V3-1-test8	铜绿假单胞菌|2000	合格	100510	0.07	未知	嗜麦芽窄食单胞菌|报	14	13	滤	2000	'1/2	RTGM164	14	13	2.167	1.000;1.00	R230829-S101	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A1-2000-1-V3-1-test8	铜绿假单胞菌|2000	合格	100510	0.07	未知	嗜麦芽窄食单胞菌|报	14	13	滤	2000	'1/2	RTGM165	0	0	0		R230829-S101	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A1-2000-1-V3-1-test8	铜绿假单胞菌|2000	合格	100510	0.07	未知	库德里阿兹威毕赤酵母（克柔念珠菌）|报	8	7	滤	2000	'1/1	jTGM092	8	7	1	1.000;1.00	R230829-S101	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A1-2000-1-V3-1-test8	铜绿假单胞菌|2000	合格	100510	0.07	未知	烟曲霉|报	74	73	弱阳	2000	'1/1	RTGM168	74	73	1	1.000;1.00	R230829-S101	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A1-2000-2-V3-1-test8	铜绿假单胞菌|2000	合格	107277	0.06	未知	三叶草根瘤菌|报	236	219	内参	2000	'1/1	IC_RL2_2	236	219	1	0.987;1.00	R230829-S125	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A2-2000-1-V3-1-test8	铜绿假单胞菌|2000	合格	119750	0.06	未知	三叶草根瘤菌|报	246	205	内参	2000	'1/1	IC_RL2_2	246	205	1	0.987;1.00	R230829-S102	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A2-2000-1-V3-1-test8	铜绿假单胞菌|2000	合格	119750	0.06	未知	嗜麦芽窄食单胞菌|报	34	28	滤	2000	'1/2	RTGM164	34	28	2	1.000;1.00	R230829-S102	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A2-2000-1-V3-1-test8	铜绿假单胞菌|2000	合格	119750	0.06	未知	嗜麦芽窄食单胞菌|报	34	28	滤	2000	'1/2	RTGM165	0	0	0		R230829-S102	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A2-2000-2-V3-1-test8	铜绿假单胞菌|2000	合格	156829	0.06	未知	三叶草根瘤菌|报	353	225	内参	2000	'1/1	IC_RL2_2	353	225	1	0.987;1.00	R230829-S126	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A2-2000-2-V3-1-test8	铜绿假单胞菌|2000	合格	156829	0.06	未知	嗜麦芽窄食单胞菌|报	229	145	弱阳	2000	'2/2	RTGM164	84	53	0.736	0.974;1.00	R230829-S126	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A2-2000-2-V3-1-test8	铜绿假单胞菌|2000	合格	156829	0.06	未知	嗜麦芽窄食单胞菌|报	229	145	弱阳	2000	'2/2	RTGM165	145	92	1.278	1.000;1.00	R230829-S126	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A2-2000-2-V3-1-test8	铜绿假单胞菌|2000	合格	156829	0.06	未知	甲型流感病毒|报	2	2	滤	2000	'2/2	dTGM042	1	1	1	0.987;1.00	R230829-S126	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A2-2000-2-V3-1-test8	铜绿假单胞菌|2000	合格	156829	0.06	未知	甲型流感病毒|报	2	2	滤	2000	'2/2	dTGM059	1	1	1	0.985;1.00	R230829-S126	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A2-2000-2-V3-1-test8	铜绿假单胞菌|2000	合格	156829	0.06	未知	鲍曼不动杆菌|报	33	21	滤	2000	'1/3	jTGM065	33	21	3	1.000;1.00	R230829-S126	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A2-2000-2-V3-1-test8	铜绿假单胞菌|2000	合格	156829	0.06	未知	鲍曼不动杆菌|报	33	21	滤	2000	'1/3	nTGM001	0	0	0		R230829-S126	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TL-A2-2000-2-V3-1-test8	铜绿假单胞菌|2000	合格	156829	0.06	未知	鲍曼不动杆菌|报	33	21	滤	2000	'1/3	pTGM010	0	0	0		R230829-S126	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TQ-1-3500-V3-1-test8	土曲霉|3500	合格	141768	0.21	未知	三叶草根瘤菌|报	885	624	内参	3500	'1/1	IC_RL2_2	885	624	1	0.987;1.00	R230829-S073	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TQ-1-3500-V3-1-test8	土曲霉|3500	合格	141768	0.21	未知	土曲霉复合群|报	5164	3642	阳性	3500	'1/1	RTGM169	5164	3642	1	1.000;1.00	R230829-S073	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TQ-2-3500-V3-1-test8	土曲霉|3500	合格	152386	0.18	未知	三叶草根瘤菌|报	1691	1109	内参	3500	'1/1	IC_RL2_2	1691	1109	1	0.987;1.00	R230829-S074	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TQ-2-3500-V3-1-test8	土曲霉|3500	合格	152386	0.18	未知	土曲霉复合群|报	3993	2620	阳性	3500	'1/1	RTGM169	3993	2620	1	1.000;1.00	R230829-S074	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TQ-2-3500-V3-1-test8	土曲霉|3500	合格	152386	0.18	未知	烟曲霉|报	64	41	弱阳	3500	'1/1	RTGM168	64	41	1	1.000;1.00	R230829-S074	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TR-1-6000-V3-1-test8	停乳链球菌|6000	合格	151652	0.09	未知	三叶草根瘤菌|报	1968	1297	内参	6000	'1/1	IC_RL2_2	1968	1297	1	0.987;1.00	R230829-S085	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TR-1-6000-V3-1-test8	停乳链球菌|6000	合格	151652	0.09	未知	停乳链球菌|报	246	162	弱阳	6000	'1/1	jTGM157	246	162	1	1.000;1.00	R230829-S085	test8	T1-230829_TPMN00204_0132_A000H5MMF3
